id	isv	addition	partOfSpeech	type	en	sameInLanguages	genesis	protoslavic	irregularity	cognates	etm_info	related_words
20373	drakon		m.anim.	2	dragon	ru uk bg	I					
23694	drama		f.	1	drama		I					
36340	dramatično		adv.	1	dramatically	v z j	I					
1903	dramatičny		adj.	1	dramatic		I					
35790	dramaturgija		f.		dramaturgy	v z j	I					
436	drapati	(drape)	v.tr. ipf.	1	scratch			drapati	1	{'Belarusian': ['драпаць'], 'Russian': ['драпать'], 'Ukrainian': ['драпати'], 'Bulgarian': ['драпам'], 'Cyrillic': ['драпати'], 'Latin': ['drápati'], 'Slovene': ['drápati'], 'Old Czech': ['drápati'], 'Czech': ['drápat'], 'Kashubian': ['drapac'], 'Polish': ['drapać'], 'Slovak': ['driapať'], 'Slovincian': ['drȧpăc'], 'Lower Sorbian': ['drapaś'], 'Upper Sorbian': ['drapać']}	Commonly considered an extension of *dьrati (“to tear, to flay”) +‎ *-pati, ultimately from Proto-Indo-European *derH- (“to tear”). Likely akin to Ancient Greek δρώπτω (drṓptō, “to gaze, to look”), Ancient Greek δρέπω (drépō, “to reap, to harvest”) and Sanskrit दर्पण (darpaṇa, “mirror”). Possibly also related to Proto-Germanic *trabō (“fringe”).  	
442	drapnųti		v.tr. pf.	1	scratch							
440	drastičny		adj.	1	drastic		I					
37058	Drava		f.sg.	1	Drava	v z j		!	!	!	!	!
23220	dražlivy		adj.		irritable							
25360	dražniti		v.tr. ipf.	1	tease, irritate	v z bg		dražniti ili dražiti ili drazniti	? jestvuje uže drugy vpis dlja dražniti можно слово-жракула? меджу RU дразнить и PL drażnić	{'Russian': ['раздражить'], 'Ukrainian': ['дратувати (possibly?)'], 'Cyrillic': ['дражити'], 'Glagolitic': ['ⱃⰰⰸⰴⱃⰰⰶⰹⱅⰹ'], 'Bulgarian': ['дражем (dialectic)'], 'Latin': ['drážiti'], 'Slovene': ['drážiti'], 'Old Czech': ['drážiti'], 'Czech': ['dráždit'], 'Slovak': ['drážiť (dialectal)']}		
35036	dråžny znak		m.	2	traffic sign	v pl						
35037	dråžny		adj.	1	road							
2513	drěmati	(drěme)	v.intr. ipf.	1	doze			drěmati	1	{'Belarusian': ['драмаць'], 'Russian': ['дремать'], 'Ukrainian': ['дрімати'], 'Old Cyrillic': ['дрѣмати'], 'Glagolitic': ['ⰴⱃⱑⰿⰰⱅⰻ'], 'Bulgarian': ['дремя'], 'Macedonian': ['дреме'], 'Cyrillic': ['дремати', 'дријемати'], 'Latin': ['drémati', 'drijémati'], '→ Albanian': ['dremit'], 'Slovene': ['drẹmati'], 'Old Czech': ['dřiemati'], 'Czech': ['dřímat'], 'Polish': ['drzemać'], 'Slovak': ['driemať'], 'Slovincian': ['dřìemăc'], 'Lower Sorbian': ['drěmaś'], 'Upper Sorbian': ['drěmać']}	From Proto-Indo-European *drē- (“to sleep”)[1] or Proto-Indo-European *drem-.[2]  	
31832	drěmlivosť		f.sg.	1	drowsiness							
31831	drěmlivy		adj.	1	drowsy							
449	drěmnųti		v.intr. pf.	1	doze, take a nap							
25362	drěmota		f.	1	nap, doze, slumber							
25363	drěn		m.	1	cornel, dogwood							
36112	dresura		f.	1	animal training	v z j	I					
7307	drěvěny dom		m.	1	wooden house							
23455	drěvěny dyhovy instrument		m.	1	woodwind instrument							
2512	drěvěny		adj.	1	wooden							
35197	drěvny vųgȯlj		m.	1	charcoal							
7308	drěvny		adj.	1	tree							
25368	drěvny		adj.	1	ancient	v j						
2137	drěvo	(drěva/drěvese)	n.	1	tree			dervo	1	{'Old East Slavic': ['дерево'], 'Belarusian': ['дзерава'], 'Russian': ['дерево'], 'Rusyn': ['дерево'], 'Ukrainian': ['дерево'], 'Cyrillic': ['древо', 'дријево', 'дриво'], 'Glagolitic': ['ⰴⱃⱑⰲⱁ'], '→ Russian': ['древо (obsolete & literary)'], '→ Belarusian': ['дрэва'], 'Bulgarian': ['дряво', 'древо (dialectal)'], 'Macedonian': ['древо (dialectal)'], 'Latin': ['drȇvo', 'drijȇvo', 'drȋvo'], 'Slovene': ['drevọ (tonal orthography)'], 'Old Czech': ['dřěvo'], 'Czech': ['dřevo'], 'Bohemian (Chod dialect)': ['dřevo'], 'Kashubian': ['drzéwò'], 'Polish': ['drzewo'], 'Slovak': ['drevo'], 'Slovincian': ['dřìḙvɵ'], 'Upper Sorbian': ['drjewo'], 'Lower Sorbian': ['drjewo']}	From Proto-Balto-Slavic *dérwa, from Proto-Indo-European *derw-o-m, from *dóru (“wood”).  	
5292	drěvo	(drěva/drěvese)	n.	1	wood			dervo	1	{'Old East Slavic': ['дерево'], 'Belarusian': ['дзерава'], 'Russian': ['дерево'], 'Rusyn': ['дерево'], 'Ukrainian': ['дерево'], 'Cyrillic': ['древо', 'дријево', 'дриво'], 'Glagolitic': ['ⰴⱃⱑⰲⱁ'], '→ Russian': ['древо (obsolete & literary)'], '→ Belarusian': ['дрэва'], 'Bulgarian': ['дряво', 'древо (dialectal)'], 'Macedonian': ['древо (dialectal)'], 'Latin': ['drȇvo', 'drijȇvo', 'drȋvo'], 'Slovene': ['drevọ (tonal orthography)'], 'Old Czech': ['dřěvo'], 'Czech': ['dřevo'], 'Bohemian (Chod dialect)': ['dřevo'], 'Kashubian': ['drzéwò'], 'Polish': ['drzewo'], 'Slovak': ['drevo'], 'Slovincian': ['dřìḙvɵ'], 'Upper Sorbian': ['drjewo'], 'Lower Sorbian': ['drjewo']}	From Proto-Balto-Slavic *dérwa, from Proto-Indo-European *derw-o-m, from *dóru (“wood”).  	
7312	drěvorěžeńje		n.sg.	1	tree cutting							
17340	drěvorųb		m.anim.	1	lumberjack							
7314	drgańje		n.sg.	1	twitch, lurch							
14540	drgati		v.intr. ipf.	2	twitch, lurch							
34661	drgnųti		v.intr. pf.	1	shudder, shiver, tremble							
37059	Drina		f.sg.	1	Drina	v z j		!	!	!	!	!
7318	dŕkańje		n.sg.	1	masturbation							
4693	dŕkati		v.intr. ipf.	1	wank, jerk off, masturbate			dьrkati	1			
7319	dŕkatnik		m.anim.	1	masturbator							
25371	drn		m.	1	turf			dьrnъ	1	{'Old East Slavic': ['дернъ'], 'Russian': ['дёрн', 'дерн'], 'Ukrainian': ['дерен'], 'Old Church Slavonic': ['дрьнъ'], 'Bulgarian': ['дрън', 'дърн'], 'Macedonian': ['дрн'], 'Cyrillic': ['дрн (“sea rock”) (archaic)'], 'Latin': ['drn (“sea rock”) (archaic)'], 'Slovene': ['drn', 'arch. dȑn'], 'Czech': ['drn'], 'Polish': ['darń (from i-stem)'], 'Upper Sorbian': ['dorn'], 'Lower Sorbian': ['dern m', 'derno n']}	Fossilized n-participle of *dьrati (“to tear”) +‎ *-nъ, from Proto-Indo-European *der- (“to tear”). Cognate with Proto-Germanic *turnaz (“bitter; anger, wrath”) and akin to Sanskrit दीर्ण (dīrṇa, “scattered”), Sanskrit दृणाति (dṛṇāti, “to tear, to burst”).  	
36415	drob		m.	2	fraction (broken number)	v bm						
25374	drobiti		v.tr. ipf.	1	crush, crumble			drobiti	1			
36062	drobjenec		m.	3	gravel	sl						
7320	drobne	(-yh)	m.pl.	2	change (money)	ub z bm						
25375	drobny		adj.	1	tiny, small			drobьnъ	1	{'Belarusian': ['дробны'], 'Russian': ['дробный (dialectal)'], 'Rusyn': ['дрїбный'], 'Old Cyrillic': ['дробенъ'], 'Glagolitic': ['ⰴⱃⱁⰱⰵⱀⱏ'], 'Cyrillic': ['дробан'], 'Latin': ['drȍban'], 'Chakavian (Vrgada)': ['drȍban'], 'Chakavian (Orbanići)': ['drȍban'], 'Slovene': ['droben'], 'Old Czech': ['drobný'], 'Czech': ['drobný'], 'Polish': ['drobny'], 'Slovak': ['drobný']}	From *drobiti +‎ *-ьnъ.  	
25376	dropja		f.	1	bustard							
16423	drozd		m.anim.	1	thrus, throstle			drozdъ	1	{'Belarusian': ['дрозд'], 'Russian': ['дрозд'], 'Ukrainian': ['дрізд'], 'Bulgarian': ['дрозд'], 'Macedonian': ['дрозд'], 'Cyrillic': ['дрозд'], 'Latin': ['drȍzd'], 'Slovene': ['drọzd (rare)', 'drọzg'], 'Old Czech': ['drozd'], 'Czech': ['drozd'], 'Bohemian (Chod dialect)': ['zdrozda f'], 'Old Polish': ['drozd'], 'Polish': ['drozd'], 'Slovak': ['drozd'], 'Upper Sorbian': ['drózn', 'drózna'], 'Lower Sorbian': ['drozn']}	From Proto-Balto-Slavic *trasdás, from Proto-Indo-European *trósdos. Balto-Slavic cognates include Lithuanian strãzdas, Latvian strazds, Old Prussian tresde. Indo-European cognates include Latin turdus, Old Irish truit, Old Norse þrǫstr, English thrush.  	
1603	drožđe		f.pl.	1	yeast	v z bg						
36960	drožđevy		adj.	1	yeast	v z bg		!	!	!	!	!
33986	dŕti grlo, drěti grlo	(dre)	phrase	1	scream, shout, yell, bawl							
1529	dŕti, drěti	(dre)	v.tr. ipf.	1	tear, rend, flay, lacerate, tear up							
14542	drug		m.anim.	2	friend			drugъ	1			
7328	drugaŕ		m.anim.	1	comrade			drugarь	1			
17342	drugorędny		adj.	1	secondary, second-rate							
784	drugy		num.ord.	1	second			drugъ	1	{'Old East Slavic': ['другъ'], 'Belarusian': ['другі'], 'Russian': ['другой'], 'Rusyn': ['другый'], 'Ukrainian': ['другий'], 'Cyrillic': ['другӣ'], 'Glagolitic': ['ⰴⱃⱆⰳⱏ'], 'Bulgarian': ['друг'], 'Macedonian': ['друг'], 'Latin': ['drȕgī'], 'Slovene': ['drȗg (“other”) (tonal orthography)', 'drūgi (“second”) (tonal orthography)'], 'Old Czech': ['druhý'], 'Czech': ['druhý'], 'Kashubian': ['drëdżi'], 'Polabian': ['draug', 'drauďĕ'], 'Polish': ['drugi'], 'Slovak': ['druhý'], 'Upper Sorbian': ['druhi'], 'Lower Sorbian': ['drugi']}	From Proto-Balto-Slavic *draugás, from Proto-Indo-European *dʰrewgʰ-. Derksen considers the connection with Proto-Indo-European *dʰrewgʰ- (“to deceive”) dubious.  	
5076	drugy		adj.	1	other, another			drugъ	1	{'Old East Slavic': ['другъ'], 'Belarusian': ['другі'], 'Russian': ['другой'], 'Rusyn': ['другый'], 'Ukrainian': ['другий'], 'Cyrillic': ['другӣ'], 'Glagolitic': ['ⰴⱃⱆⰳⱏ'], 'Bulgarian': ['друг'], 'Macedonian': ['друг'], 'Latin': ['drȕgī'], 'Slovene': ['drȗg (“other”) (tonal orthography)', 'drūgi (“second”) (tonal orthography)'], 'Old Czech': ['druhý'], 'Czech': ['druhý'], 'Kashubian': ['drëdżi'], 'Polabian': ['draug', 'drauďĕ'], 'Polish': ['drugi'], 'Slovak': ['druhý'], 'Upper Sorbian': ['druhi'], 'Lower Sorbian': ['drugi']}	From Proto-Balto-Slavic *draugás, from Proto-Indo-European *dʰrewgʰ-. Derksen considers the connection with Proto-Indo-European *dʰrewgʰ- (“to deceive”) dubious.  	
7331	družba		f.	1	friendship			družьba	1	{'Old East Slavic': ['дроужьба'], 'Belarusian': ['дружба'], 'Russian': ['дружба'], 'Ukrainian': ['дружба'], 'Old Church Slavonic': ['дроужьба'], 'Bulgarian': ['дружба'], 'Macedonian': ['дружба'], 'Cyrillic': ['дружба'], 'Latin': ['družba'], 'Slovene': ['drȗžba (tonal orthography)'], 'Old Czech': ['družba'], 'Czech': ['družba'], 'Moravian (Mistřice)': ['družba'], 'Polish': ['drużba'], 'Slovak': ['družba']}	From Proto-Balto-Slavic *dráugība, from Proto-Indo-European *dʰrewgʰ-. Morphologically from *drugъ + *-ьba. Cognate with Latvian draudzība (“friendship”) (with g > dz via palatalization), Lithuanian draugybė (“friendship”).  	
25384	družba		m.anim.		best man			družьba	1	{'Old East Slavic': ['дроужьба'], 'Belarusian': ['дружба'], 'Russian': ['дружба'], 'Ukrainian': ['дружба'], 'Old Church Slavonic': ['дроужьба'], 'Bulgarian': ['дружба'], 'Macedonian': ['дружба'], 'Cyrillic': ['дружба'], 'Latin': ['družba'], 'Slovene': ['drȗžba (tonal orthography)'], 'Old Czech': ['družba'], 'Czech': ['družba'], 'Moravian (Mistřice)': ['družba'], 'Polish': ['drużba'], 'Slovak': ['družba']}	From Proto-Balto-Slavic *dráugība, from Proto-Indo-European *dʰrewgʰ-. Morphologically from *drugъ + *-ьba. Cognate with Latvian draudzība (“friendship”) (with g > dz via palatalization), Lithuanian draugybė (“friendship”).  	
25385	družica		f.		maid of honour			družica	1			
5882	družina		f.	1	team			družina	1	{'Old East Slavic': ['дружина'], 'Belarusian': ['дружына'], 'Russian': ['дружина'], 'Ukrainian': ['дружина (', '“wife”)'], 'Old Novgorodian': ['друзина (Old Pskovian)']}	From *drugъ (“companion, friend”) +‎ *-ina (“collective suffix”).  	
7333	družiti sę		v.refl. ipf.	1	make friends			družiti	1	{'Old East Slavic': ['дружити'], 'Old Ruthenian': ['дрꙋжити'], 'Belarusian': ['дружыць'], 'Ukrainian': ['дружити'], 'Russian': ['дружить'], 'Bulgarian': ['дружа'], 'Macedonian': ['дружи'], 'Cyrillic': ['дружити'], 'Latin': ['drúžiti'], 'Slovene': ['družíti (tonal orthography)'], 'Czech': ['družit'], 'Polish': ['drużyć (obsolete)'], 'Slovak': ['družiť'], 'Upper Sorbian': ['družić'], 'Lower Sorbian': ['družyś']}	From *drugъ +‎ *-iti.  	
25388	družka		f.	2	friend			družьka	1			
7336	družny		adj.	1	friendly							
25389	družny		adj.	1	joint, cooperative							
7337	družstvo		n.	1	society			družьstvo	1			
25392	drva		n.pl.	1	timber, wood	v z j		drъva	1	{'Old East Slavic': ['дръва', 'дрова', 'дрꙑва'], 'Old Belarusian': ['дрова', 'дрыва', 'дрва'], 'Belarusian': ['дровы', 'дрова'], 'Middle Russian': ['дръва', 'дрова'], 'Russian': ['дрова'], 'Old Ukrainian': ['дрова', 'дрива', 'дрыва', 'дърва'], 'Ukrainian': ['дрова'], 'Old Church Slavonic': ['дръва'], 'Russian Church Slavonic': ['дръва', 'дрова'], 'Bulgarian': ['дърва'], 'Macedonian': ['дрва'], 'Cyrillic': ['дрва', 'дреа f (“log”)'], 'Latin': ['drva', 'dȑea f (“log”)'], 'Slovene': ['dŕva'], 'Czech': ['drva (dialectal)'], 'Kashubian': ['drwa'], 'Polabian': ['dråvă'], 'Polish': ['drwa'], 'Slovak': ['drvá (dialectal)']}	Plural of *drъvo sg (“tree”).  	
17341	drvosěk		m.anim.	1	woodcutter, lumberjack			drъvosěkъ	1			
35027	dŕzati		v.intr. ipf.	1	dare, venture	v z j		dьrzati	1			
25395	dŕzky		adj.	2	bold, daring, audacious	ru be cs sl bm		dьrzъkъ	1	{'Belarusian': ['дзёрзкі'], 'Russian': ['дерзкий'], 'Ukrainian': ['дерзкий'], 'Bulgarian': ['дързък'], 'Cyrillic': ['дрзак'], 'Latin': ['dȑzak'], 'Old Czech': ['drzký'], 'Old Polish': ['darski'], 'Polish': ['dziarski'], 'Slovak': ['derski (dialectal)']}	From *dьrzъ +‎ *-kъ.  	
25396	dŕznųti		v.intr. pf.	1	dare, venture			dьrznǫti	1	{'Old East Slavic': ['дьрзнꙋти', 'дьръзнꙋти', 'дрьзнꙋти (11th century)'], 'Russian': ['дерзнуть'], 'Old Church Slavonic': ['дрьзнѫти', 'дръзнѫти'], 'Bulgarian': ['дръзна'], 'Macedonian': ['дрзне'], 'Cyrillic': ['дрзнути'], 'Latin': ['dȑznuti'], 'Slovene': ['dŕzniti (tonal orthography)'], 'Old Czech': ['drznúti'], 'Old Polish': ['darznąć'], 'Slovincian': ['ʒḯrznȯųc']}	From the same root as *dьrzati + *-nǫti; see *dьrzati for further etymology. Compare also Sanskrit धृष्णोति (dhṛṣṇóti, “to dare”) (cognate per Derksen and Trubachev, not necessarily per Vasmer or Chernykh).  	
25397	dŕzosť		f.sg.	2	boldness, audacity	ru be cs sl bm						
5231	dŕžak		m.	2	handle	v						
25398	držalo		n.	2	handhold	cs yu mk						
6185	dŕžati glådovkų	(dŕži)	v.ipf.	1	hunger-strike							
17344	dŕžati sę něčego	(dŕži)	v.refl. ipf.	1	hold onto something, cling to something							
2617	dŕžati	(dŕži)	v.tr. ipf.	1	hold, keep	ru cs yu bg						
25399	držati	(drži)	v.intr. ipf.	1	shudder, shiver, tremble			drъžati	1	{'Old East Slavic': ['дрожати'], 'Russian': ['дрожать'], 'Old Czech': ['držeti', 'dřežeti'], 'Polish': ['drżeć'], 'Upper Sorbian': ['ržeć'], 'Lower Sorbian': ['rdžaś']}	From Proto-Balto-Slavic *drugjā́ˀtei.  	
1756	dŕžava		f.	2	state, country	ub j		dьržava	1	{'Belarusian': ['дзяржава'], 'Russian': ['держава'], 'Ukrainian': ['держава']}	Related to *dьržati.  	
17346	dŕžavnik		m.anim.	2	statesman	j						
35173	dŕžavnosť		f.sg.	2	statehood	ub j						
6268	dŕžavny		adj.	2	state	ub j						
7343	dŕžka		f.	1	handle							
451	dųb		m.	1	oak			dǫbъ	1	{'Belarusian': ['дуб'], 'Russian': ['дуб'], 'Ukrainian': ['дуб'], 'Old Church Slavonic': ['дѫбъ'], 'Bulgarian': ['дъб', 'дъмп (dialectal)'], 'Macedonian': ['даб'], 'Serbo-Croatian': ['(archaic)'], 'Cyrillic': ['дуб'], 'Latin': ['dub'], 'Slovene': ['dọb (tonal orthography)'], 'Old Czech': ['dub'], 'Czech': ['dub'], 'Kashubian': ['dąb'], 'Polish': ['dąb'], 'Polabian': ['dǫb'], 'Slovak': ['dub'], 'Lower Sorbian': ['dub'], 'Upper Sorbian': ['dub']}	Based on comparison between the adjective form *dǫbrъ and Proto-Germanic *timrą (“timber”), Lithuanian dum̃blas (“swamp”), it appears that the etymon descends from a Caland's root (probably Proto-Indo-European *dem- (“to build”)). The exact etymology, however, is uncertain. The etymon is attested both as an o-stem and as a u-stem, but per Vasmer, the original more likely was u-stem.  	
25404	dųbiti		v.tr. ipf.	2	tan	v pl bg						
7345	dubliti		v.tr. ipf.	1	backup		F					
14544	dubljeńje		n.	2	backup		F					
25405	dųbovy		adj.	1	oaken							
25407	duda		f.		fife			duda	1			
25408	dudaŕ		m.anim.	1	bagpipe player	v pl cz sl						
17347	dudy		f.pl.	1	bagpipes	v pl cz sl						
36091	duel		m.	1	duel	v cs sh bm	I					
292	dųga		f.	1	rainbow	v cs sh bm		dǫga	1			
434	duh		m.anim.	1	ghost, spirit			duxъ	1	{'Old East Slavic': ['духъ (', '“air”)'], 'Belarusian': ['дух'], 'Russian': ['дух'], 'Rusyn': ['дух'], 'Ukrainian': ['дух'], 'Old Church Slavonic': ['доухъ', 'ⰴⱆⱈⱏ'], 'Bulgarian': ['дух'], 'Macedonian': ['дух'], 'Serbo-Croatian': ['дух', 'dȕh'], 'Slovene': ['dȗh (tonal orthography)'], 'Old Czech': ['duch'], 'Czech': ['duch'], 'Bohemian (Chod dialect)': ['duch'], 'Kashubian': ['dëch'], 'Polish': ['duch'], 'Slovak': ['duch'], 'Upper Sorbian': ['duch'], 'Lower Sorbian': ['duch']}	From Proto-Balto-Slavic *dausas, from Proto-Indo-European *dʰews-, variant of *dʰwes-. Cognate with Lithuanian daũsos f pl (“air”), Proto-Germanic *deuzą (“animal”).  	
17348	duh		m.	1	mind			duxъ	1	{'Old East Slavic': ['духъ (', '“air”)'], 'Belarusian': ['дух'], 'Russian': ['дух'], 'Rusyn': ['дух'], 'Ukrainian': ['дух'], 'Old Church Slavonic': ['доухъ', 'ⰴⱆⱈⱏ'], 'Bulgarian': ['дух'], 'Macedonian': ['дух'], 'Serbo-Croatian': ['дух', 'dȕh'], 'Slovene': ['dȗh (tonal orthography)'], 'Old Czech': ['duch'], 'Czech': ['duch'], 'Bohemian (Chod dialect)': ['duch'], 'Kashubian': ['dëch'], 'Polish': ['duch'], 'Slovak': ['duch'], 'Upper Sorbian': ['duch'], 'Lower Sorbian': ['duch']}	From Proto-Balto-Slavic *dausas, from Proto-Indo-European *dʰews-, variant of *dʰwes-. Cognate with Lithuanian daũsos f pl (“air”), Proto-Germanic *deuzą (“animal”).  	
6198	duhovenstvo		n.sg.	1	clergy							
6197	duhovnik		m.anim.	1	clergyman, priest			duxovьnikъ	1			
284	duhovny		adj.	1	spiritual							
2520	dumati		v.tr. ipf.	1	ponder			dumati	1	{'Old East Slavic': ['думати'], 'Belarusian': ['думаць'], 'Russian': ['думать'], 'Ukrainian': ['думати']}	A loan from a reflex of Proto-Germanic *dōmijaną (“to judge, think”), or derived from *duma, also borrowed from Germanic. The exact donor language cannot be ascertained.  	
23532	Dunaj		m.sg.	1	Danube							
25416	dųnųti		v.intr. pf.	1	blow			dunǫti	 ??	{'Russian': ['дунуть'], 'Old Church Slavonic': ['доунѫти'], 'Serbo-Croatian': ['dúnuti'], 'Slovene': ['dúniti (tonal orthography)'], 'Old Czech': ['dunúti']}		
1655	dupa		f.	2	ass	z		dupa	1			
36513	dupja		f.	1	tree hollow, cavity	v~ pl j						
35291	duplikat		m.	1	duplicate	v z j	I					
36512	duplo		n.	1	tree hollow, cavity	v pl~ j~		duplo	1			
37326	dur		m.indecl.	1	major (scale)	v z yu mk	D	!	!	!	!	!
25424	durenj		m.anim.	2	fool	v pl						
34192	durěti		v.intr. ipf.	2	grow stupid	v pl						
14546	durno		adv.	2	stupidly	v pl						
14547	durnosť		f.	2	stupidity	v pl						
2521	durny		adj.	2	stupid, silly, foolish	v pl		durьnъ	1	{'Belarusian': ['дурны'], 'Russian': ['дурной'], 'Ukrainian': ['дурний'], 'Latin': ['dȗran'], 'Czech': ['durný'], 'Polish': ['durny'], 'Slovak': ['durný'], 'Slovincian': ['dĕrnï']}	From *durь +‎ *-ьnъ.  	
37327	durovy		adj.	1	major (scale)	v z yu mk	D	!	!	!	!	!
34087	duš		m.	1	shower, douche	v j	F					
703	duša		f.	1	soul	v z j		duša	1	{'Old East Slavic': ['доуша'], 'Belarusian': ['душа'], 'Russian': ['душа'], 'Ukrainian': ['душа'], 'Old Cyrillic': ['доуша'], 'Glagolitic': ['ⰴⱆⱎⰰ'], 'Bulgarian': ['душа'], 'Macedonian': ['душа'], 'Cyrillic': ['душа'], 'Latin': ['dúša'], 'Slovene': ['dúša (tonal orthography)'], 'Old Czech': ['dušě'], 'Czech': ['duše'], 'Bohemian (Chod dialect)': ['duše'], 'Moravian (Mistřice)': ['duša'], 'Polabian': ['dausă'], 'Polish': ['dusza'], 'Slovak': ['duša'], 'Upper Sorbian': ['duša'], 'Lower Sorbian': ['duša']}	Perhaps from Proto-Balto-Slavic *dáuṣjāˀ, from Proto-Indo-European *dʰowsyeh₂, from *dʰews- +‎ *-yeh₂. Equivalent to *duxъ (“spirit”) +‎ *-ja. Compare Lithuanian daũsios f pl (“air; empyrean, paradise”), Gaulish dusios (“phantasm”).  	
7357	dušeńje		n.sg.	1	suffocation							
17349	duševny		adj.	1	mental	ru cz sh						
2543	dušiti		v.tr. ipf.	1	strangle, choke, suffocate, smother, stifle			dušiti	1			
7358	dušlivy		adj.	1	suffocating							
7359	dušny		adj.	1	sultry, suffocated	ru pl cz						
683	dųti	(dme)	v.tr. ipf.	1	blow			dǫti	1	{'Old East Slavic': ['дꙋти'], 'Belarusian': ['дуць', 'дзьмуць'], 'Russian': ['дуть'], 'Ukrainian': ['дути'], 'Cyrillic': ['дути'], 'Glagolitic': ['[Term?]'], 'Latin': ['dȕti'], '⇒ Slovene': ['nadọti (tonal orthography)'], 'Czech': ['dout'], 'Polabian': ['dåmĕ (3sg.)'], 'Polish': ['dąć'], 'Slovak': ['dmuť'], 'Slovincian': ['dḯc'], 'Upper Sorbian': ['duć'], 'Lower Sorbian': ['duś']}	From Proto-Balto-Slavic *dumˀtei, from Proto-Indo-European *dʰemH-.  	
5233	duty		adj.	1	hollow							
7364	duzina		f.	1	dozen							
14548	duže		adv.	3	a lot	ub pl						
4459	duži		adj.	3	great	ub pl		dužь	1	{'Old East Slavic': ['дюжии'], 'Belarusian': ['дужы'], 'Russian': ['дюжий'], 'Ukrainian': ['дужий'], 'Czech': ['duží'], 'Polish': ['duży'], 'Slovak': ['dúži']}	From Proto-Balto-Slavic *daugjas. Cognate with Latvian daũdz, Lithuanian daũg.  	
457	dva	(dvě)	num.card.	1	two			dъva	1	{'Old East Slavic': ['дъва', 'два'], 'Old Ruthenian': ['дваBelarusian'], 'Russian': ['два'], 'Old Novgorodian': ['дова', 'дъва'], 'Old Cyrillic': ['дъва'], 'Glagolitic': ['ⰴⱏⰲⰰ'], 'Bulgarian': ['два'], 'Macedonian': ['два'], 'Cyrillic': ['два'], 'Latin': ['dvȃ'], 'Slovene': ['dvȃ (tonal orthography)'], 'Old Czech': ['dva'], 'Czech': ['dva'], 'Kashubian': ['dwa'], 'Polabian': ['dåvo'], 'Polish': ['dwa'], 'Silesian': ['dwa'], 'Slovak': ['dvaja', 'dva', 'dve'], 'Slovincian': ['dvȧ'], 'Lower Sorbian': ['dwa'], 'Upper Sorbian': ['dwaj']}	From Proto-Balto-Slavic *duwō, from Proto-Indo-European *dwóh₁ (“two”).  	
458	dvadesęť, dvadesęti		num.card.	1	twenty							
19681	dvadesęty		num.ord.	1	twentieth							
2515	dvanadsęť		num.card.	1	twelve							
37483	dvanadsęty měsęc		m.	5	December			!	!	!	!	!
23680	dvanadsęty		num.ord.	1	twelfth							
2964	dvasto		num.card.	1	two hundred							
7369	dvě tretiny		num.fract.	1	two thirds							
2929	dvėri		f.pl.	1	door							
36930	dvėŕna rųčka		f.	2	door handle	v		!	!	!	!	!
7393	dvėŕnik		m.anim.	1	doorman							
23678	dvěstě		num.card.	1	two hundred							
469	dvigati sę		v.refl. ipf.	1	move							
468	dvigati		v.tr. ipf.	1	move			dvigati	1	{'Russian': ['двигать'], 'Ukrainian': ['двигати']}	Vasmer marks the word as unclear. According to one theory, from *d(ъ)vigъ (“branching, buttress serving as lever”), from *d(ъ)va (“2”) +‎ *-igъ. (Can this(+) etymology be sourced?) Compare German Zweig (“branch < branching”), from Zwei (“2”). The loss of -v- in South Slavic is secondary. For a similar phenomenon, compare Serbo-Croatian storiti (“to do, to commit”), Bulgarian сторя (storja, “to do”) < *sъtvoriti.  	
471	dvignųti		v.tr. pf.	1	move			dvignǫti	1			
37060	Dvina		f.sg.	1	Dvina	v z j		!	!	!	!	!
3180	dvižeńje		n.	1	movement							
36092	dvoboj		m.	1	duel	uk cs j						
16452	dvojaky		num.diff.	1	dual, twofold, two kinds of							
17355	dvojce toliko		adv.	1	twice as much							
16426	dvojčany		adj.	2	binary	sh						
15306	dvojčę		n.	2	twin							
7402	dvojčęta		n.pl.	2	twins							
472	dvoje		num.coll.	1	pair, twosome							
19682	dvojina		f.	2	dual	uk yu mk						
25443	dvojiti		v.tr. ipf.	1	double, duplicate							
7414	dvojka		num.subst.	1	two	v z j		dvojьka	1			
25445	dvojka		f.	1	pair, duo (group of two)	v z j		dvojьka	1			
7415	#dvojna komnata		f.	1	double room							
17357	dvojnik		m.anim.	1	doppelgänger, double, look-alike							
7417	dvojno		adv.	1	doubly							
7412	dvojny agent		m.anim.	1	double agent							
14552	dvojny standard		m.	1	double standard							
476	dvojny		adj.	1	double							
15310	dvojostry meč		m.	5	double-edged sword							
15309	dvojostry		adj.	5	double-edged							
16492	dvojstveno čislo		n.	1	dual							
22118	dvojtočka		f.	1	colon (punctuation)							
5212	dvor		m.	1	yard (courtyard), courtyard							
25452	dvor		m.	1	court (e.g. of a king)							
16810	dvorjan, dvorjanin		m.anim.	1	nobleman, courtier	v z j						
16811	dvorjansky		adj.	1	noble							
7421	dvorjanstvo		n.sg.	1	nobility							
16763	dvucifreny		adj.	1	double-digit							
14549	dvuetapovy		adj.	2	two-stage		I					
14550	dvuetažny avtobus		m.	2	doubledecker bus		I					
7376	dvuetažny		adj.	1	two-story, doubledecker		F					
17358	dvuglåska		f.	1	diphthong							
